brand_name,model_name,price,CC,mileage,type_of_bike,weight_in_kg,top_speed,Torque (Nm),Power (bHP),links
Kawasaki,Ninja h2,3499000,998,15,Petrol Bike,238,242,,,https://www.carandbike.com/kawasaki-bikes/ninja-h2
MV Agusta,F4 rr,3883000,998,15,Petrol Bike,190,250,,,https://www.carandbike.com/mv-agusta-bikes/f4-rr
Indian,Roadmaster,3900000,1811,15,Petrol Bike,421,231,,,https://www.carandbike.com/indian-bikes/roadmaster
Indian Roadmaster Elite,Roadmaster elite,4800000,1811,15,Petrol Bike,433,203,,,https://www.carandbike.com/indian-bikes/roadmaster-elite
Ducati,1299 panigale,5182000,1285,15,Petrol Bike,190,211,,,https://www.carandbike.com/ducati-bikes/1299-panigale
Kawasaki,Ninja h2r,7990000,998,15,Petrol Bike,216,296,,,https://www.carandbike.com/kawasaki-bikes/ninja-h2r
MV Agusta,Dragster-800 rr,2052356,798,14.9,Petrol Bike,168,183,,,https://www.carandbike.com/mv-agusta-bikes/dragster-800-rr
Ducati,Panigale v4,2350000,1103,14.5,Petrol Bike,195,230,,,https://www.carandbike.com/ducati-bikes/panigale-v4
Ducati,Multistrada v4,1899000,1158,14.3,Petrol Bike,232,189,,,https://www.carandbike.com/ducati-bikes/multistrada-v4
Kawasaki,W800 street,733000,773,14,Petrol Bike,221,213,,,https://www.carandbike.com/kawasaki-bikes/w800-street
Kawasaki,Versys 1000,1172000,1043,14,Petrol Bike,255,222,,,https://www.carandbike.com/kawasaki-bikes/versys-1000
Indian,Scout bobber,1199000,1133,14,Petrol Bike,245,241,,,https://www.carandbike.com/indian-bikes/scout-bobber
Aprilia,Tuono v4,2066000,1077,14,Petrol Bike,209,143,,,https://www.carandbike.com/aprilia-bikes/tuono-v4
MV Agusta,F3-800 rc,2149086,798,14,Petrol Bike,173,184,,,https://www.carandbike.com/mv-agusta-bikes/f3-800-rc
Indian,Super-Chief limited,2282155,1890,14,Petrol Bike,324,193,,,https://www.carandbike.com/indian-bikes/super-chief-limited
Moto Guzzi,Eldorado,2367000,1380,14,Petrol Bike,314,242,,,https://www.carandbike.com/moto-guzzi-bikes/eldorado
Indian,Springfield,3350000,1811,14,Petrol Bike,391,250,,,https://www.carandbike.com/indian-bikes/springfield
Honda,Gold wing,3971822,1833,14,Petrol Bike,390,231,,,https://www.carandbike.com/honda-bikes/gold-wing
Ducati,Streetfighter v4,1999000,1103,13.2,Petrol Bike,199,203,,,https://www.carandbike.com/ducati-bikes/streetfighter-v4
Ducati,Monster 821,1099000,821,13,Petrol Bike,205,211,,,https://www.carandbike.com/ducati-bikes/monster-821
Triumph,Rocket 3,1990000,2458,13,Petrol Bike,291,296,,,https://www.carandbike.com/triumph-bikes/rocket-3
BMW,K-1600 gtl,2930000,1649,13,Petrol Bike,332,183,,,https://www.carandbike.com/bmw-bikes/k-1600-gtl
Aprilia,Rsv bikes/rsv4,2369000,1099,12,Petrol Bike,202,230,,,https://www.carandbike.com/aprilia-bikes/rsv4
Harley-Davidson,Sportster s,1551000,1252,11.8,Petrol Bike,228,191,,,https://www.carandbike.com/harley-davidson-bikes/sportster-s
Suzuki,Hayabusa bikes/hayabusa,1640000,1340,11,Petrol Bike,266,312,,,https://www.carandbike.com/suzuki-bikes/hayabusa
Ducati,Hypermotard 950,1402278,937,9,Petrol Bike,176,210,,,https://www.carandbike.com/ducati-bikes/hypermotard-950
Harley-Davidson,Cvo limited,4999000,1923,8,Petrol Bike,411,253,,,https://www.carandbike.com/harley-davidson-bikes/cvo-limited
